@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric

@data
23,'2023/12/10 17:52:34:606',2,0.062697,0.416623,0.534457,0.340343,-0.541534,0.228369,0.081347,0.284659,0.221172,-0.123035,1.351029,-0.627011,-0.570264,0.306155,-0.199861,-0.485796,-0.340168,0.358625,-0.058582,-0.166751,-0.126044,-0.049277,0.453346,-0.344303,0.927706,-0.160088,0.454152,-0.891873,0.193273,0.219839,-0.950635,0.083642,0,0.46,0.44,0,0,0.46,0.46,0.68
24,'2023/12/10 17:52:34:706',2,0.057532,0.407876,0.534899,0.338162,-0.531754,0.197121,0.073982,0.307673,0.183169,-0.094052,1.364931,-0.627421,-0.569787,0.320074,-0.222661,-0.491127,-0.332238,0.384237,-0.050448,-0.15129,-0.125947,-0.04192,0.471366,-0.346534,0.923446,-0.115361,0.463793,-0.894244,0.214621,0.215936,-0.865882,0.081424,0,0.46,0.44,0,0,0.46,0.46,0.68
25,'2023/12/10 17:52:34:807',2,-0.000112,0.244277,0.502882,0.256392,-0.432459,0.007033,0.1074,0.365887,-0.08426,0.017282,1.622828,-0.555707,-0.538284,0.210771,-0.305018,-0.516924,-0.262195,0.408453,0.070913,0.027041,-0.128707,-0.04782,0.598373,-0.383062,0.879358,-0.017515,0.48172,-0.85041,0.110564,0.138443,-0.313496,0.033563,0,0.46,0.44,0,0,0.46,0.46,0.68
26,'2023/12/10 17:52:34:907',2,0.055373,0.086197,0.035865,-0.523509,-0.182183,0.560895,0.213377,0.283524,0.028142,0.298415,1.647178,-0.373713,-0.699972,0.045579,-0.242176,-0.628089,-0.220425,0.467802,-0.21869,0.037052,-0.06329,-0.04021,0.764439,-0.537035,0.333015,0.164936,0.318131,-0.853067,0.194472,0.245703,0.079059,-0.138393,0,0.46,0.44,0,0,0.46,0.46,0.68
27,'2023/12/10 17:52:35:006',2,0.033871,0.182169,0.038418,-0.586405,-0.08579,0.536969,0.213353,0.333737,-0.07454,0.420884,1.660014,-0.35033,-0.711337,0.018115,-0.292042,-0.643799,-0.223738,0.461731,-0.136586,-0.059767,-0.056446,-0.063478,0.802018,-0.641075,0.317236,0.239575,0.229973,-0.773909,0.079292,0.233499,0.162696,-0.179442,0,0.46,0.44,0,0,0.46,0.46,0.68
28,'2023/12/10 17:52:35:108',2,0.064998,0.148617,0.032873,-0.606196,-0.073129,0.540873,0.200178,0.324696,-0.105626,0.463712,1.650794,-0.287267,-0.713509,0.03116,-0.341125,-0.586954,-0.238269,0.486635,-0.114574,-0.063713,-0.057933,-0.027562,0.80373,-0.647225,0.323308,0.189582,0.292161,-0.774032,0.025176,0.226816,0.169387,-0.179046,0,0.46,0.44,0,0,0.46,0.46,0.68
29,'2023/12/10 17:52:35:207',2,0.167011,0.050219,0.004908,-0.685089,-0.039647,0.59566,0.062646,-0.077765,0.000453,0.56147,1.497725,0.115542,-0.724956,0.148213,-0.518126,-0.401393,-0.241723,0.481992,-0.080392,-0.054829,-0.071419,-0.022293,0.784138,-0.650743,0.336874,0.113323,0.209498,-0.85923,0.101641,0.227705,0.298595,-0.172585,0,0.46,0.44,0,0,0.46,0.46,0.68
30,'2023/12/10 17:52:35:307',2,0.172054,-0.123285,0.037253,-0.650326,-0.087128,0.532325,-0.129072,-0.222074,0.046762,0.700421,1.317287,0.335535,-0.733122,0.231942,-0.477718,-0.377404,-0.260763,0.494237,-0.160884,0.096051,-0.067388,-0.167005,0.725441,-0.669868,0.339003,0.145051,0.012387,-0.788529,0.21679,0.281866,0.042614,-0.139478,0,0.46,0.44,0,0,0.46,0.46,0.68
31,'2023/12/10 17:52:35:408',2,0.267994,-0.511667,0.070373,-0.189204,-0.100712,-0.055421,-0.557684,-0.321496,0.032266,0.42616,1.447558,0.173206,-0.743756,0.424889,-0.305412,-0.336345,-0.40166,0.604133,-0.810043,0.40258,-0.072557,0.036982,0.36941,-0.540554,0.314923,0.314111,-0.147946,-1.056413,0.466714,0.083563,-0.091562,0.021572,0,0.46,0.44,0,0,0.46,0.46,0.68
32,'2023/12/10 17:52:35:508',2,0.269112,-0.509352,0.044218,-0.169554,-0.123236,-0.106292,-0.581996,-0.308282,0.023669,0.415075,1.468378,0.170285,-0.739637,0.460596,-0.304952,-0.337534,-0.421035,0.623783,-0.845961,0.432045,-0.072474,0.056817,0.356401,-0.521866,0.318903,0.2703,-0.133709,-1.060754,0.435946,0.087414,-0.061419,0.038361,0,0.46,0.44,0,0,0.46,0.46,0.68
